cve_ent,entidad,anio,num_programas,presupuesto_ejercido_mdp,presupuesto_por_programa
01,Aguascalientes,2011,66,974.2357920000001,14.761148363636364
01,Aguascalientes,2012,55,1243.8600000000001,22.615636363636366
01,Aguascalientes,2013,55,521210895.63,9476561.738727273
01,Aguascalientes,2014,64,649095179.16,10142112.174375
01,Aguascalientes,2016,40,547646324.24,13691158.106
01,Aguascalientes,2018,33,88890927.55,2693664.471212121
01,Aguascalientes,2021,27,287383913.62,10643848.652592592
02,Baja California,2010,75,1822.5365,24.300486666666664
02,Baja California,2011,72,1669.0039,23.180609722222222
02,Baja California,2012,90,10663.24,118.48044444444444
02,Baja California,2013,44,5305140.0,120571.36363636363
02,Baja California,2014,97,1239082962.0,12774051.154639175
02,Baja California,2016,23,43569555.05,1894328.4804347826
02,Baja California,2018,79,748697562.86,9477184.34
02,Baja California,2021,29,1232999187.72,42517213.36965518
03,Baja California Sur,2010,52,1517.322728,29.179283230769233
03,Baja California Sur,2011,77,658.19192,8.547947012987013
03,Baja California Sur,2012,67,1626.87,24.281641791044773
03,Baja California Sur,2013,53,386281418.0,7288328.641509434
03,Baja California Sur,2014,71,55258867.0,778293.9014084507
03,Baja California Sur,2016,21,0.0,0.0
03,Baja California Sur,2018,24,0.0,0.0
03,Baja California Sur,2021,23,146625216.0,6375009.391304348
04,Campeche,2010,91,928.82488,10.206866813186814
04,Campeche,2011,81,1928.694266,23.811040320987654
04,Campeche,2012,118,383.21999999999997,3.2476271186440675
04,Campeche,2013,75,266889521.0,3558526.946666667
04,Campeche,2014,103,96861766.0,940405.495145631
04,Campeche,2016,33,72579707.32,2199385.0703030303
04,Campeche,2018,39,3469388385.19,88958676.54333334
04,Campeche,2021,23,60291841.85,2621384.42826087
05,Coahuila,2010,38,3709.934925,97.62986644736843
05,Coahuila,2011,55,409.14,7.438909090909091
05,Coahuila,2014,85,373603000.0,4395329.411764706
05,Coahuila,2016,51,331210591.0,6494325.31372549
05,Coahuila,2018,39,265756257.0,6814263.0
06,Colima,2010,50,563.58692,11.271738399999998
06,Colima,2011,100,767.332,7.67332
06,Colima,2012,130,1129.27,8.686692307692308
06,Colima,2013,65,187635747.0,2886703.8
06,Colima,2014,57,541493547.0,9499886.789473685
06,Colima,2016,16,32326865.0,2020429.0625
06,Colima,2018,40,155371973.23,3884299.3307499997
06,Colima,2021,17,231646007.72,13626235.748235295
07,Chiapas,2010,240,3029.56569358,12.623190389916665
07,Chiapas,2011,244,5295.5199999999995,21.70295081967213
07,Chiapas,2012,253,10729.83,42.410395256917
07,Chiapas,2013,45,1609637014.0,35769711.42222222
07,Chiapas,2014,58,2898543995.05,49974896.466379315
07,Chiapas,2016,10,1034273161.39,103427316.139
07,Chiapas,2018,19,259132421.06,13638548.476842105
07,Chiapas,2021,17,936342558.81,55078974.04764706
08,Chihuahua,2010,52,1141.688757,21.955553019230766
08,Chihuahua,2011,91,1237.150464,13.595060043956044
08,Chihuahua,2012,74,930.6899999999999,12.576891891891892
08,Chihuahua,2013,92,1394676934.0,15159531.891304348
08,Chihuahua,2014,54,250628831.0,4641274.648148148
08,Chihuahua,2016,23,49228953.129999995,2140389.266521739
08,Chihuahua,2018,19,95603627.0,5031769.842105263
08,Chihuahua,2021,31,569348580.49,18366083.241612904
09,Ciudad de Mexico,2010,190,24749.39754054,130.2599870554737
09,Ciudad de Mexico,2011,211,17857.11,84.63085308056873
09,Ciudad de Mexico,2012,236,17738.73,75.16411016949152
09,Ciudad de Mexico,2013,95,21212434252.32,223288781.60336843
09,Ciudad de Mexico,2014,104,433622064.0,4169442.923076923
09,Ciudad de Mexico,2016,68,13265747200.539999,195084517.65499997
09,Ciudad de Mexico,2018,67,14199757048.0,211936672.35820895
09,Ciudad de Mexico,2021,84,12239503303.74,145708372.66357142
10,Durango,2010,84,4849.58936,57.73320666666667
10,Durango,2011,64,1891.99143,29.56236609375
10,Durango,2012,111,3062.81,27.592882882882883
10,Durango,2013,76,94548992.0,1244065.6842105263
10,Durango,2014,89,3095783022.0,34784078.898876406
10,Durango,2016,31,151639669.76,4891602.25032258
